"year","cz","employment_march","establishments","payroll_quarter1"
2017,47,1765501,93590,26626230000
2018,47,1803861,93530,28172383000
2019,47,1800092,93489,28956127000
2001,48,28689,2808,175676000
2002,48,28185,2870,178562000
2003,48,28783,2890,181052000
2004,48,29442,2955,190916000
2005,48,30362,3041,200866000
2006,48,32488,3105,231844000
2007,48,33244,3241,253757000
2008,48,33697,3222,266194000
2009,48,31801,3125,253231000
2010,48,32097,3106,244480000
2011,48,31815,3044,251181000
2012,48,30962,3052,261942000
2013,48,32519,3107,279605000
2014,48,32937,3136,292659000
2015,48,35650,3215,325206000
2016,48,35775,3278,332199000
2017,48,37026,3381,350636000
2018,48,39355,3424,399296000
2019,48,40158,3411,416918000
2001,49,105158,5645,648077000
2002,49,102618,5748,651789000
2003,49,103436,5862,642666000
2004,49,102567,5860,680870000
2005,49,102748,5935,725838000
2006,49,109136,6104,855738000
2007,49,108288,6184,804936000
2008,49,106278,6133,807348000
2009,49,100896,6044,763923000
2010,49,101586,6043,760016000
2011,49,98486,5954,785918000
2012,49,99094,5980,801259000
2013,49,97689,5924,800122000
2014,49,97347,5825,837761000
2015,49,94272,5823,843162000
2016,49,97452,5794,868685000
2017,49,97508,5884,871763000
2018,49,94871,5888,885027000
2019,49,93098,5860,887130000
2001,50,178202,9718,1242064000
2002,50,177117,9819,1288743000
2003,50,178823,9752,1311007000
2004,50,183859,9793,1395372000
2005,50,186484,9842,1466023000
2006,50,190124,9921,1576375000
2007,50,189294,10013,1634823000
2008,50,188593,9796,1643139000
2009,50,182018,9633,1552299000
2010,50,180522,9556,1543738000
2011,50,182099,9523,1626665000
2012,50,185035,9531,1769263000
2013,50,187383,9536,1816454000
2014,50,181329,9488,1871245000
2015,50,182135,9561,1997856000
2016,50,184376,9593,1973149000
2017,50,188591,9701,2081598000
2018,50,190433,9654,2180441000
2019,50,189121,9658,2297174000
2001,51,94251,5780,661827000
2002,51,91244,5845,671550000
2003,51,92039,5935,686996000
2004,51,92483,6068,683277000
2005,51,92077,6193,711014000
2006,51,95821,6279,749894000
2007,51,96127,6402,750296000
2008,51,99390,6297,831881000
2009,51,95732,6092,818578000
2010,51,94003,6006,814258000
2011,51,94216,5829,878090000
2012,51,94009,5886,883183000
2013,51,93760,5894,910818000
2014,51,95088,5871,924934000
2015,51,97143,5908,928164000
2016,51,98466,5928,926334000
2017,51,99184,5998,983216000
2018,51,98471,5994,994182000
2019,51,100899,5983,1069598000
2001,52,211795,14314,1519841000
2002,52,201935,14853,1532998000
2003,52,206796,15311,1571990000
2004,52,209992,15866,1595434000
2005,52,223377,16982,1741727000
2006,52,242671,18242,2055476000
2007,52,243069,18829,2124367000
2008,52,236369,18076,2151095000
2009,52,216926,17173,1895782000
2010,52,213909,16900,1776484000
2011,52,214248,16417,1935722000
2012,52,222183,16749,2052923000
2013,52,228598,16943,2151326000
2014,52,238527,17349,2424426000
2015,52,246792,17738,2535906000
2016,52,254388,18304,2547604000
2017,52,258354,19105,2706194000
2018,52,270656,20035,3004712000
2019,52,283262,20810,3240345000
2001,53,328866,20680,2530976000
2002,53,325853,20756,2637976000
2003,53,329298,20662,2689698000
2004,53,330057,20710,2663719000
2005,53,317956,20551,2647447000
2006,53,314467,20305,2753318000
2007,53,308969,20297,2799879000
2008,53,299723,19628,2679834000
2009,53,281123,18858,2400618000
2010,53,274200,18650,2352659000
2011,53,277629,18434,2501310000
2012,53,280473,18433,2556060000
2013,53,284081,18349,2740794000
2014,53,288350,18332,2914893000
2015,53,291250,18339,3030505000
2016,53,299364,18316,3380241000
2017,53,305064,18475,3329340000
2018,53,306071,18414,3523040000
2019,53,308045,18339,3511065000
2001,54,632867,33046,5076089000
2002,54,621527,33707,5116018000
2003,54,634216,33914,5302834000
2004,54,643804,34608,5509197000
2005,54,650542,35290,5731955000
2006,54,687677,36205,6529474000
2007,54,696181,37487,6867882000
2008,54,710719,37494,7187358000
2009,54,654968,36663,6852124000
2010,54,638767,36428,6681522000
2011,54,651497,35952,7057540000
2012,54,667912,36596,7712053000
2013,54,698455,37044,8085511000
2014,54,734769,37654,8649449000
2015,54,756420,38706,9324845000
2016,54,785903,39794,9605702000
2017,54,811931,40999,10461665000
2018,54,829729,41372,10977842000
2019,54,840863,42190,11492056000
2001,55,50621,3647,301672000
2002,55,51733,3748,309024000
2003,55,52068,3817,325353000
2004,55,51864,3857,329294000
2005,55,52335,3815,340437000
2006,55,55226,3853,386269000
2007,55,57437,3823,413429000
2008,55,59357,3811,440743000
2009,55,57882,3837,441660000
2010,55,57378,3921,431654000
2011,55,56383,3700,444025000
2012,55,56748,3565,462590000
2013,55,57446,3610,473429000
2014,55,54576,3587,489556000
2015,55,55568,3636,502515000
2016,55,56541,3605,521361000
2017,55,55484,3423,556705000
2018,55,55804,3448,594699000
2019,55,56203,3355,605929000
2001,56,543593,32244,3965895000
2002,56,533210,32299,3979210000
2003,56,535854,32360,4022767000
2004,56,538388,32675,4244252000
2005,56,519614,31786,4202059000
2006,56,430068,29377,4042233000
2007,56,461567,30135,4477619000
2008,56,468470,29921,4905778000
2009,56,462969,29772,4729537000
2010,56,453772,29746,4711219000
2011,56,460912,29629,5126713000
2012,56,471803,29972,5420403000
2013,56,476828,30119,5394713000
2014,56,493033,30365,5762390000
2015,56,499703,30806,5912521000
2016,56,509457,31155,5826250000
2017,56,496918,31482,5879744000
2018,56,495134,31525,6024295000
2019,56,503378,31593,6330255000
2001,57,26751,2021,144902000
2002,57,26742,2014,156756000
2003,57,26269,2049,158686000
2004,57,27874,2051,169290000
2005,57,26829,2064,169863000
2006,57,26777,2055,182465000
2007,57,24570,2042,162365000
2008,57,24381,1991,163408000
2009,57,23165,1998,164963000
2010,57,23573,1980,158458000
2011,57,23366,1962,165270000
2012,57,23446,2021,170877000
2013,57,23922,2016,179478000
2014,57,24239,2025,187644000
2015,57,25891,2028,222585000
2016,57,25809,2019,225468000
2017,57,25470,2012,231307000
2018,57,25081,1984,236912000
2019,57,25163,1968,244740000
2001,58,4070814,219935,42681142000
2002,58,3903053,222367,40260580000
2003,58,3913111,224113,40907707000
2004,58,3909606,227877,41628458000
2005,58,3895957,231128,43431528000
2006,58,3972992,233676,47620719000
2007,58,4002871,236642,50698648000
2008,58,4049732,234464,53174266000
2009,58,3789253,229432,48004399000
2010,58,3670129,228919,45861837000
2011,58,3720761,228450,49025770000
2012,58,3800356,230375,52087215000
2013,58,3875601,231964,53777088000
2014,58,3950403,233561,57232385000
2015,58,3990867,235654,60163775000
2016,58,4030744,237599,61001649000
2017,58,4033447,239283,63925651000
2018,58,4056575,239978,66430673000
2019,58,4095317,240490,69402473000
2001,59,129038,8594,910918000
2002,59,134630,8662,960497000
2003,59,129425,8640,938476000
2004,59,130811,8693,976101000
2005,59,126355,8573,971883000
2006,59,132913,8552,1076475000
2007,59,131210,8544,1127324000
2008,59,129289,8394,1182099000
2009,59,128491,8288,1203164000
2010,59,126769,8237,1140995000
2011,59,123347,7968,1186428000
2012,59,124872,7906,1268065000
2013,59,124776,7863,1180476000
2014,59,123839,7722,1266692000
2015,59,119725,7598,1275746000
2016,59,117657,7437,1195743000
2017,59,113374,7330,1249505000
2018,59,114124,7179,1315474000
2019,59,113992,7135,1361221000
2001,60,160274,10278,990701000
2002,60,156553,10275,1006877000
2003,60,158168,10244,1040154000
2004,60,161613,10334,1080330000
2005,60,165576,10485,1164294000
2006,60,172099,10617,1253149000
2007,60,171390,10677,1318946000
2008,60,172505,10452,1358202000
2009,60,161838,10106,1286771000
2010,60,156488,9917,1264347000
2011,60,155414,9741,1321196000
2012,60,156762,9690,1371146000
2013,60,158211,9649,1405444000
2014,60,161183,9687,1431291000
2015,60,160560,9758,1444584000
2016,60,161845,9791,1485125000
2017,60,162610,9851,1566335000
2018,60,163915,9762,1591363000
2019,60,164859,9790,1643308000
2001,61,143644,9373,934809000
2002,61,145821,9525,978437000
2003,61,145932,9585,994926000
2004,61,148375,9750,1035643000
2005,61,149541,10094,1085895000
2006,61,157310,10461,1195197000
2007,61,158535,10805,1258384000
2008,61,160579,10654,1310179000
2009,61,153044,10364,1260933000
2010,61,149957,10359,1220871000
2011,61,155078,10265,1315108000
2012,61,154974,10344,1417326000
2013,61,158581,10421,1476382000
2014,61,164939,10641,1591837000
2015,61,172905,10802,1686288000
2016,61,176381,11024,1691407000
2017,61,177389,11253,1781669000
2018,61,182872,11344,1900342000
2019,61,190349,11608,2058147000
2001,62,109492,7993,692612000
2002,62,110301,8217,704296000
2003,62,112652,8346,727638000
2004,62,111961,8686,744728000
2005,62,113076,8977,764880000
2006,62,116349,9167,846125000
2007,62,115590,9310,883695000
2008,62,113909,9173,909355000
2009,62,107505,9057,878208000
2010,62,106074,8974,845104000
2011,62,105657,8817,864783000
2012,62,108436,8883,952041000
2013,62,110787,8958,984245000
2014,62,111473,9042,994867000
2015,62,113051,9053,1040854000
2016,62,115323,9212,1050999000
2017,62,113211,9339,1092689000
2018,62,117098,9287,1150993000
2019,62,120260,9350,1250987000
2001,63,55874,3649,345512000
2002,63,55792,3655,356584000
2003,63,53565,3665,337386000
2004,63,54273,3623,341362000
2005,63,55498,3604,364173000
2006,63,57755,3601,398586000
2007,63,57267,3629,433693000
2008,63,58466,3545,457444000
2009,63,56756,3501,432163000
2010,63,56606,3464,419128000
2011,63,57154,3450,441168000
2012,63,56826,3462,453108000
2013,63,60192,3474,518256000
2014,63,60897,3442,535547000
2015,63,60893,3534,546710000
2016,63,60273,3579,546684000
2017,63,61029,3570,576193000
2018,63,59211,3515,578086000
2019,63,59782,3479,607223000
2001,64,529695,31885,3861741000
2002,64,519364,33090,3912060000
2003,64,521277,33630,4196184000
2004,64,528628,35371,4400132000
2005,64,543383,37007,4685772000
2006,64,571450,38350,5307361000
2007,64,569431,39503,5434053000
2008,64,572455,38376,5685885000
2009,64,538824,37276,5365982000
2010,64,511742,36939,4965368000
2011,64,511912,36331,5276701000
2012,64,526605,36946,5735147000
2013,64,537377,37470,5929826000
2014,64,555861,37952,6422547000
2015,64,563333,38927,6434971000
2016,64,585159,40075,6614135000
2017,64,606366,40948,7138530000
2018,64,619943,41600,7673200000
2019,64,625413,42216,7963217000
2001,65,308881,18102,2159369000
2002,65,308553,18176,2199967000
2003,65,311758,18196,2274110000
2004,65,320594,18371,2446518000
2005,65,324838,18595,2510959000
2006,65,340760,18831,2755702000
2007,65,340450,19334,2922695000
2008,65,341051,19114,2981313000
2009,65,318919,18517,2828414000
2010,65,314024,18242,2806228000
2011,65,321371,17987,2976954000
2012,65,326501,18143,3091336000
2013,65,325966,18013,3132543000
2014,65,328149,17964,3277325000
2015,65,333607,18262,3430466000
2016,65,346732,18562,3597762000
2017,65,347342,18847,3715712000
2018,65,350465,18798,3873954000
2019,65,353773,18937,3994762000
2001,66,114164,8184,729011000
2002,66,111620,8195,743648000
2003,66,112190,8242,746181000
2004,66,111942,8284,753449000
2005,66,112890,8241,780204000
2006,66,117057,8190,830015000
2007,66,117262,8142,869658000
2008,66,116044,8036,893253000
2009,66,108930,7824,904101000
2010,66,108224,7800,889890000
2011,66,107374,7677,927087000
2012,66,109484,7629,956430000
2013,66,107741,7628,974414000
2014,66,108625,7531,1004147000
2015,66,110453,7489,1018982000
2016,66,110980,7439,1024835000
2017,66,109093,7478,1059208000
2018,66,108927,7412,1134954000
2019,66,106579,7322,1126820000
2001,67,122691,7937,807478000
2002,67,123589,8048,789508000
2003,67,124657,8108,840003000
2004,67,128548,8176,899407000
2005,67,127855,8278,902352000
2006,67,130559,8406,969607000
2007,67,126416,8570,970515000
2008,67,125065,8402,1003283000
2009,67,122257,8205,963230000
2010,67,121113,8209,963614000
2011,67,122112,8037,991515000
2012,67,122011,8010,1007796000
2013,67,125168,7952,1071580000
2014,67,125157,8093,1073271000
2015,67,127075,8186,1137781000
2016,67,129608,8193,1159618000
2017,67,130542,8303,1254898000
2018,67,135523,8341,1319310000
2019,67,136113,8327,1385616000
2001,68,49686,3706,286254000
2002,68,49404,3727,285180000
2003,68,51227,3719,306178000
2004,68,51124,3702,314937000
2005,68,51520,3672,331668000
2006,68,52734,3691,357707000
2007,68,52767,3734,376481000
2008,68,53640,3715,402149000
2009,68,49705,3667,362877000
2010,68,48244,3647,342083000
2011,68,49317,3583,363087000
2012,68,49461,3578,383675000
2013,68,48423,3583,389702000
2014,68,49469,3612,403150000
2015,68,48051,3573,404211000
2016,68,47726,3526,397997000
2017,68,47485,3528,414079000
2018,68,48410,3516,435713000
2019,68,48315,3485,440906000
2001,69,654777,35890,4942985000
2002,69,640934,36897,4668146000
2003,69,646994,37015,4781373000
2004,69,661705,37635,5046113000
2005,69,666966,38623,5204211000
2006,69,701133,39852,6057569000
2007,69,722188,40635,6462437000
2008,69,735867,40535,6805408000
2009,69,722469,40201,6502574000
2010,69,718175,40324,6523215000
2011,69,731665,40516,7180577000
2012,69,757613,41626,7902337000
2013,69,780690,42361,8183959000
2014,69,798637,43171,8554232000
2015,69,825174,44267,9000729000
2016,69,859299,44993,9371201000
2017,69,876237,46257,9890022000
2018,69,898200,46639,10623079000
2019,69,914191,47229,10937359000
2001,70,843178,43503,7304162000
2002,70,820129,43580,7153659000
2003,70,823569,43528,7266919000
2004,70,834862,43899,7586869000
2005,70,841619,44223,7863879000
2006,70,852619,44448,8432166000
2007,70,854970,44284,8970474000
2008,70,856542,43774,9111569000
2009,70,813506,42785,8698323000
2010,70,794102,42176,8379988000
2011,70,802750,41401,8903221000
2012,70,813731,41405,9460997000
2013,70,812319,41362,9623186000
2014,70,825275,41366,9982689000
2015,70,835970,41643,10360213000
2016,70,837909,42088,10439468000
2017,70,845484,42445,10993074000
2018,70,854938,42311,11615117000
2019,70,855448,42323,11989356000
2001,71,291610,16627,2106899000
2002,71,280375,17012,1978130000
2003,71,281091,17164,2054614000
2004,71,291245,17502,2202754000
2005,71,292466,17766,2303354000
2006,71,294655,18025,2496670000
2007,71,300622,18455,2592804000
2008,71,303107,18298,2765460000
2009,71,279789,18084,2821076000
2010,71,281052,18011,2516003000
2011,71,282554,17897,2621667000
2012,71,276087,18030,2706544000
2013,71,277456,18078,2685811000
2014,71,279284,18059,2825551000
2015,71,280342,18221,2846056000
2016,71,283465,18316,2871432000
2017,71,288074,18602,3146180000
2018,71,291604,18630,3375162000
2019,71,298664,18811,3531301000
2001,72,217977,12188,1558529000
2002,72,211795,12335,1562200000
2003,72,216426,12391,1642164000
2004,72,217422,12628,1726543000
2005,72,220588,12784,1752342000
2006,72,226493,12968,1866926000
2007,72,231041,13134,2013961000
2008,72,226727,13063,2029435000
2009,72,215314,12908,1924754000
2010,72,211306,12921,1891496000
2011,72,207823,12745,1960485000
2012,72,218045,12833,2139572000
2013,72,226122,13125,2207033000
2014,72,228024,13355,2266395000
2015,72,231459,13409,2320940000
2016,72,235894,13662,2334809000
2017,72,239452,13626,2511011000
2018,72,241065,13639,2595186000
2019,72,244749,13709,2698819000
2001,73,597959,41902,4568187000
2002,73,599074,42372,4668039000
2003,73,629305,43189,5080798000
2004,73,637369,43333,5141315000
2005,73,643696,43756,5362353000
2006,73,645132,43780,5819269000
2007,73,646526,43883,6078195000
2008,73,635903,42898,6246904000
2009,73,608402,41431,5839492000
2010,73,590501,41236,5748929000
2011,73,596268,40607,5916618000
2012,73,597196,40534,6224798000
2013,73,599016,40556,6277337000
2014,73,610632,40615,6841907000
2015,73,616068,40821,6813500000
2016,73,631644,41194,7001726000
2017,73,637255,41395,7706095000
2018,73,639685,41367,8015981000
2019,73,642992,41454,8148852000
2001,74,1687843,97439,18735123000
2002,74,1654900,99446,17970025000
2003,74,1678208,101029,18493870000
2004,74,2194366,123524,26170564000
2005,74,2200262,127057,27028467000
2006,74,2269160,129883,29987936000
2007,74,2303808,131043,32005033000
2008,74,2306118,129654,33072121000
2009,74,2246627,129063,32236304000
2010,74,2222837,129578,31988075000
2011,74,2280747,129529,34282901000
2012,74,2310514,130906,36361092000
2013,74,2343830,132766,37243123000
2014,74,2367911,135108,39080692000
2015,74,2383489,136824,39403284000
2016,74,2428181,139139,40162949000
2017,74,2492627,140790,43090296000
2018,74,2549608,141377,46038490000
2019,74,2576976,142255,47842326000
2001,75,823253,46039,6054627000
2002,75,801376,47881,6010160000
2003,75,823427,49570,6132860000
2004,75,866665,53443,6533431000
2005,75,915048,56820,7316716000
2006,75,980495,58902,8258998000
2007,75,963001,60062,8483989000
2008,75,953466,58214,8649123000
2009,75,882543,56257,8097696000
2010,75,870125,56212,7884661000
2011,75,896461,56053,8166004000
2012,75,919131,57782,8685297000
2013,75,946466,58891,9157442000
2014,75,978381,60318,9828389000
2015,75,1012091,62264,10385220000
2016,75,1051082,64697,10840622000
2017,75,1095105,66487,11798950000
2018,75,1132260,68340,12745921000
2019,75,1158728,69913,13335683000
2001,76,2602773,140394,30723734000
2002,76,2502756,140455,28217103000
2003,76,2461428,141721,27463986000
2004,76,2461335,140297,29492393000
2005,76,2461392,139840,30001163000
2006,76,2497834,140130,32606787000
2007,76,2534088,140987,35201044000
2008,76,2527851,139320,36931496000
2009,76,2431102,136430,34333049000
2010,76,2400079,136061,33401320000
2011,76,2420299,135535,35762228000
2012,76,2503287,137520,38870685000
2013,76,2547456,138705,39743468000
2014,76,2554430,139666,42010672000
2015,76,2614186,141247,44563391000
2016,76,2681850,143298,44888048000
2017,76,2736505,145475,48860191000
2018,76,2746565,145998,53150350000
2019,76,2801798,146742,56188846000
2001,77,341696,18811,2631408000
2002,77,336819,19043,2566747000
2003,77,335450,18959,2592922000
2004,77,336871,18912,2633610000
2005,77,333683,18869,2739923000
2006,77,339367,18684,2919151000
